ric,data_load,capitalization,current_price,ticker
AEMMY.PK,2026-03-24,8.355139,14.1,AEMMY.PK
AEO.N,2026-03-24,2.859668,16.87,AEO.N
AEP.O,2026-03-24,69.53264,127.92,AEP.O
AER.N,2026-03-24,22.563378,135.21,AER.N
AERO.K,2026-03-24,0.00881,13.4,AERO.K
AES.N,2026-03-24,10.040048,14.08,AES.N
AESI.K,2026-03-24,1.573124,12.67,AESI.K
AESI.N,2026-03-24,1.573124,12.67,AESI.N
AETUF.PK,2026-03-24,12.071597,21.18,AETUF.PK
AEVA.O,2026-03-24,0.968135,15.38,AEVA.O
AEXAY.PK,2026-03-24,0.86914,9.08,AEXAY.PK
AFG.N,2026-03-24,10.605607,127.32,AFG.N
AFGB.N,2026-03-24,10.605607,21.25,AFGB.N
AFGC.N,2026-03-24,10.605607,18.23,AFGC.N
AFGD.N,2026-03-24,10.605607,20.22,AFGD.N
AFGE.N,2026-03-24,10.605607,16.7,AFGE.N
AFL.N,2026-03-24,54.944339,106.65,AFL.N
AFLYY.PK,2026-03-24,2.817715,1.11,AFLYY.PK
AFNDY.PK,2026-03-24,5.86724,0.0,AFNDY.PK
AFRM.O,2026-03-24,15.376388,46.16,AFRM.O
AFYA.O,2026-03-24,1.420838,15.16,AFYA.O
AG.N,2026-03-24,9.45293,19.2,AG.N
AGBK.N,2026-03-24,1.468158,9.18,AGBK.N
AGCO.K,2026-03-24,8.261999,114.11,AGCO.K
AGCO.N,2026-03-24,8.261999,114.11,AGCO.N
AGESY.PK,2026-03-24,13.649243,69.03,AGESY.PK
AGGNY.PK,2026-03-24,1.251886,0.0,AGGNY.PK
AGI.N,2026-03-24,16.853915,40.15,AGI.N
AGIO.O,2026-03-24,1.647026,28.11,AGIO.O
AGLXY.PK,2026-03-24,4.46474,6.62,AGLXY.PK
AGM.N,2026-03-24,1.510501,142.75,AGM.N
AGM_pd.N,2026-03-24,1.510501,21.15,AGM_pd.N
AGM_pe.N,2026-03-24,1.510501,21.73,AGM_pe.N
AGM_pf.N,2026-03-24,1.510501,19.25,AGM_pf.N
AGM_pg.N,2026-03-24,1.510501,17.9,AGM_pg.N
AGM_ph.N,2026-03-24,1.510501,24.26,AGM_ph.N
