ric,current_price,capitalization
AKZOY.PK,21.8,11.221409
AL.N,65.0,7.282302
ALAB.O,362.05,62.058244
ALB.N,125.79,14.835
ALBBY.PK,8.75,6.913845
ALBKY.PK,1.15,10.778428
ALC.N,69.0,34.299153
ALCTY.PK,0.0,59.532632
ALEDY.PK,5.0,0.972587
ALEUY.PK,10.5,10.756717
ALEX.K,20.84,1.518725
ALEX.N,20.84,1.518725
ALFRY.PK,13.8,2.61353
ALFVY.PK,57.36,23.962436
ALG.N,162.24,1.974192
ALGGY.PK,6.5,1.15759
ALGM.O,50.86,9.474747
ALGN.O,180.59,12.933518
ALGT.O,106.89,2.872741
ALH.N,25.86,5.13602
ALHC.O,20.38,4.213235
ALIZY.PK,47.9,182.787244
ALK.N,46.8,5.214876
ALKRY.PK,0.0,1.315074
ALKS.O,51.87,8.645474
ALKT.O,17.68,1.892099
ALL.N,256.45,66.015597
ALLE.K,136.36,11.718214
ALLE.N,136.36,11.718214
ALLY.K,45.12,13.830321
ALLY.N,45.12,13.830321
ALM.O,15.02,4.323773
ALMRY.PK,14.28,2.704228
ALMS.O,28.1,3.582525
ALNPY.PK,3.5,10.213032
ALNT.O,87.27,1.483286
ALNY.O,288.06,38.459632
ALORY.PK,14.74,4.928453
ALPMY.PK,13.07,23.738607
ALRM.O,52.24,2.583821
ALSMY.PK,1.69,8.057066
ALSN.K,115.98,9.618915
ALSN.N,115.98,9.618915
ALSSF.PK,2.59,1.992028
ALSYY.PK,0.0,7.873197
ALTB.PK,5.98,5.956678
ALV.N,121.88,8.926054
ALVO.O,3.38,1.319658
ALX.N,276.21,1.410685
AM.N,22.46,10.668051
AMADY.PK,56.41,24.59817
AMAL.O,46.46,1.387637
AMAT.O,575.39,456.836316
AMBA.O,72.0,3.158509
AMBBY.PK,9.7,2.484878
AMBP.K,4.46,2.66577
AMBP.N,4.46,2.66577
AMBQ.N,81.35,1.939826
AMBUY.PK,0.0,11.265356
AMC.N,1.87,1.669171
AMCR.K,42.43,19.617328
AMCR.N,42.43,19.617328
AMD.O,534.39,871.376675
AMDLY.PK,74.66,5.784963
AME.N,232.1,53.198017
AMFPY.PK,46.67,3.23258
AMG.N,359.78,9.50254
AMGN.O,360.45,194.537847
AMH.N,33.8,12.161748
AMH_pg.N,22.61,12.161748
AMH_ph.N,23.56,12.161748
AMIGY.PK,48.98,14.822717
AMKAF.PK,2477.32,36.695778
AMKBY.PK,12.64,36.695778
AMKR.O,66.06,16.374459
AMLTF.PK,1.1,2.84898
AMLX.O,17.41,1.935754
AMN.N,33.98,1.31795
AMP.N,518.23,46.587366
AMPH.O,19.29,0.850552
AMPL.O,9.36,1.241316
AMPX.K,11.08,1.59944
AMPX.N,11.08,1.59944
AMR.N,148.7,1.890665
AMRC.K,23.75,1.257596
AMRC.N,23.75,1.257596
AMRX.O,17.18,5.486113
AMRZ.K,49.1,27.178648
AMRZ.N,49.1,27.178648
AMSC.O,34.18,1.656442
AMSSY.PK,11.81,2.314664
AMT.N,169.5,78.968875
AMTB.N,25.63,1.008665
AMTM.K,20.43,4.991382
AMTM.N,20.43,4.991382
AMVOY.PK,8.35,4.207853
AMX.N,26.03,78.103134
AMZN.O,247.31,2660.340735
AN.N,193.43,6.472457
ANAB.O,69.81,2.066968
ANCTF.PK,64.77,59.532632
ANDE.O,74.79,2.546903
ANDG.K,41.97,4.739772
ANDG.N,41.97,4.739772
ANET.K,181.15,228.10455
ANET.N,181.15,228.10455
ANF.N,91.59,4.0695
ANFGF.PK,50.84,49.668473
ANGPY.PK,10.88,17.563293
ANIOY.PK,9.29,4.658373
ANIP.O,81.08,1.844204
ANJFY.PK,0.0,3.976408
ANPA.O,4.39,0.066297
ANPDF.PK,8.87,26.191305
ANPDY.PK,233.97,26.191305
ANSLY.PK,84.09,3.022834
ANYYY.PK,15.33,45.410056
ANZGY.PK,25.21,76.422448
ANZLY.PK,1.16,0.79144
AOD.N,10.37,1.09348
AOMFF.PK,17.3,8.057066
AON.N,367.35,78.457492
AONNY.PK,8.61,24.161562
AOREF.PK,1225.0,5.754928
AORT.K,24.03,1.166497
AORT.N,24.03,1.166497
AOS.N,59.53,8.204938
AOZOY.PK,3.75,2.513685
APA.O,34.67,12.254813
APAJF.PK,6.71,9.135665
APAM.K,36.68,2.973199
APAM.N,36.68,2.973199
APD.N,301.96,67.24066
APELY.PK,25.7,2.668706
APEMY.PK,50.31,3.940753
APG.N,41.4,17.935639
APGE.O,133.82,10.061085
APH.N,155.99,191.904271
APLD.O,28.84,8.241594
APLE.K,16.37,3.864426
APLE.N,16.37,3.864426
APLS.O,41.03,5.252713
APMSF.PK,44.7,3.940753
APNHY.PK,9.0,4.156035
APO.N,118.83,68.507576
APOS.N,25.49,68.507576
APP.O,442.85,148.771029
APPF.O,179.9,6.361
APPN.O,26.05,1.912386
APTV.K,59.23,12.534284
APTV.N,59.23,12.534284
AQN.N,5.72,4.415802
AQNB.N,25.5,4.415802
AR.N,34.28,10.621178
ARCAY.PK,38.0,3.55703
ARCB.O,149.5,3.328435
ARCC.O,18.64,13.383946
ARCO.K,8.29,1.746397
ARCO.N,8.29,1.746397
ARDT.K,10.07,1.443535
ARDT.N,10.07,1.443535
ARDX.O,5.14,1.269731
ARE.N,48.08,8.378877
ARES.K,120.45,39.730147
ARES.N,120.45,39.730147
ARGTF.PK,22.22,5.183566
ARGX.O,876.25,54.23633
ARHS.O,7.73,1.094105
ARI.N,10.31,1.350066
ARKAY.PK,63.61,4.869963
ARLO.K,13.11,1.423875
ARLO.N,13.11,1.423875
ARLP.O,24.69,3.176586
ARLUF.PK,43.84,25.655182
ARM.O,298.99,319.344868
ARMK.K,58.15,15.29075
ARMK.N,58.15,15.29075
ARMN.K,14.19,2.924238
ARMN.N,19.16,2.924238
ARNNY.PK,38.6,16.2004
AROC.K,38.1,6.677467
AROC.N,38.1,6.677467
ARQT.O,27.12,3.392261
ARR.N,16.87,2.092658
ARR_pc.N,20.99,2.092658
ARRPY.PK,12.65,12.581987
ARRY.O,6.12,0.941417
ARW.N,201.78,10.317808
ARWR.O,74.11,10.438914
ARX.N,13.34,2.910806
ARXCY.PK,21.0,12.584716
ARZGY.PK,23.99,73.99951
ARZTY.PK,6.79,1.7194
AS.N,34.15,19.747981
ASA.N,50.92,0.956683
ASAIY.PK,8.49,2.307592
ASAN.K,7.69,1.772621
ASAN.N,7.69,1.772621
ASAZY.PK,16.95,36.21622
ASB.N,30.77,5.106024
ASBA.N,24.55,5.106024
ASBFY.PK,26.84,18.905979
ASBHY.PK,10.0,15.065234
ASCCY.PK,30.18,22.194819
ASEKY.PK,14.3,10.120959
ASGLY.PK,7.67,8.524451
ASGN.K,18.28,0.74948
ASGN.N,18.28,0.74948
ASGSY.PK,0.0,1.098012
ASH.N,65.92,3.01833
ASHGY.PK,72.75,29.729143
ASIC.N,25.11,1.2061
ASKRY.PK,0.0,3.265977
ASLTY.PK,6.37,8.555054
ASM.N,5.76,0.978898
ASMIY.PK,998.41,50.083516
ASML.O,1726.04,682.566494
ASMLF.PK,1734.3,682.566494
ASMVY.PK,70.5,9.918655
ASND.O,265.22,17.554892
ASO.O,46.49,2.883234
ASOZY.PK,50.0,3.961009
ASR.N,278.66,7.721944
ASTE.O,55.82,1.283449
ASTH.O,47.64,2.362154
