ric,data_load,status,capitalization,avg_volume,price
SHWDY.PK,2026-03-10,old,14.0,0.0,71.0
SIELY.PK,2026-03-10,old,19.0,0.0,11.55
SINGF.PK,2026-03-10,old,16.5,0.08,5.08
SLG_pi.N,2026-03-10,new,2.8,,
SPG_pj.N,2026-03-10,new,62.7,,
SSAAY.PK,2026-03-10,old,8.1,0.0,4.16
STJPF.PK,2026-03-10,old,9.2,0.0,17.5
STT_pg.N,2026-03-10,new,34.0,,
SUOPY.PK,2026-03-10,old,3.8,0.0,21.42
SVKEF.PK,2026-03-10,old,41.7,0.0,20.64
TELNF.PK,2026-03-10,old,24.2,0.0,17.68
TKGBY.PK,2026-03-10,old,13.3,0.01,3.23
TUFBY.PK,2026-03-10,old,1.5,0.0,7.57
TWO_pa.N,2026-03-10,new,1.0,,
TWO_pb.N,2026-03-10,new,1.0,,
TYOYY.PK,2026-03-10,old,3.4,0.0,103.3
UMH_pd.N,2026-03-10,new,1.3,,
USB_ph.N,2026-03-10,new,81.0,,
UTGPF.PK,2026-03-10,old,3.5,0.0,6.54
VEMLY.PK,2026-03-10,old,3.6,0.0,59.99
VLKPF.PK,2026-03-10,old,53.7,0.0,104.73
VNO_pl.N,2026-03-10,new,5.1,,
VNO_pm.N,2026-03-10,new,5.1,,
VNO_pn.N,2026-03-10,new,5.1,,
VNO_po.N,2026-03-10,new,5.1,,
WFC_pl.N,2026-03-10,new,243.2,,
WFC_py.N,2026-03-10,new,243.2,,
WSOb.N,2026-03-10,old,15.2,0.0,377.59
